重度能量淤积点·枢纽区,Column2,Column3,Column4,重度能量淤积点·源石研究园,Column6,Column7,Column8,重度能量淤积点·矿脉源区,Column10,Column11
主词条,副词条,技能,,主词条,副词条,技能,,主词条,副词条,技能
敏捷提升,攻击提升,强攻,,敏捷提升,攻击提升,压制,,敏捷提升,生命提升,强攻
力量提升,灼热伤害提升,压制,,力量提升,物理伤害提升,追袭,,力量提升,物理伤害提升,压制
意志提升,电磁伤害提升,追袭,,意志提升,电磁伤害提升,昂扬,,意志提升,灼热伤害提升,巧技
智识提升,寒冷伤害提升,粉碎,,智识提升,寒冷伤害提升,巧技,,智识提升,寒冷伤害提升,残暴
主能力提升,自然伤害提升,巧技,,主能力提升,自然伤害提升,附术,,主能力提升,自然伤害提升,附术
,源石技艺强度提升,迸发,,,暴击率提升,医疗,,,暴击率提升,迸发
,终结技充能效率提升,流转,,,终结技充能效率提升,切骨,,,源石技艺强度提升,夜幕
,法术提升,效益,,,法术提升,效益,,,治疗效率提升,效益
,,,,,,,,,,
重度能量淤积点·供能高地,,,,重度能量淤积点·武陵城,,,,,,
主词条,副词条,技能,,主词条,副词条,技能,,,,
敏捷提升,攻击提升,追袭,,敏捷提升,攻击提升,强攻,,,,
力量提升,生命提升,粉碎,,力量提升,生命提升,粉碎,,,,
意志提升,物理伤害提升,昂扬,,意志提升,电磁伤害提升,残暴,,,,
智识提升,灼热伤害提升,残暴,,智识提升,寒冷伤害提升,医疗,,,,
主能力提升,自然伤害提升,附术,,主能力提升,暴击率提升,切骨,,,,
,暴击率提升,医疗,,,终结技充能效率提升,迸发,,,,
,源石技艺强度提升,切骨,,,法术提升,夜幕,,,,
,治疗效率提升,流转,,,治疗效率提升,流转,,,,
,,,,,,,,,,
