主词条,副词条,技能,稀有度,种类,名称
力量提升,攻击提升,迸发,六星,双手剑,赫拉芬格
力量提升,生命提升,医疗,六星,双手剑,大雷斑
力量提升,暴击率提升,粉碎,六星,双手剑,破碎君王
敏捷提升,攻击提升,附术,六星,单手剑,宏愿
敏捷提升,物理伤害提升,效益,六星,长柄武器,负山
敏捷提升,物理伤害提升,巧技,六星,长柄武器,骁勇
意志提升,攻击提升,流转,六星,单手剑,不知归
意志提升,攻击提升,流转,六星,单手剑,热熔切割器
意志提升,终结技充能效率提升,追袭,六星,施术单元,使命必达
意志提升,自然伤害提升,压制,六星,施术单元,作品：蚀迹
意志提升,生命提升,医疗,六星,施术单元,骑士精神
意志提升,生命提升,效益,六星,双手剑,昔日精品
智识提升,灼热伤害提升,附术,六星,单手剑,黯色火炬
智识提升,治疗效率提升,附术,六星,施术单元,沧溟星梦
智识提升,法术提升,夜幕,六星,施术单元,遗忘
智识提升,暴击率提升,切骨,六星,手铳,艺术暴君
智识提升,寒冷伤害提升,附术,六星,手铳,领航者
智识提升,攻击提升,夜幕,六星,单手剑,熔铸火焰
主能力提升,暴击率提升,夜幕,六星,单手剑,扶摇
主能力提升,物理伤害提升,残暴,六星,单手剑,显赫声明
主能力提升,源石技艺强度提升,附术,六星,单手剑,白夜新星
主能力提升,源石技艺强度提升,迸发,六星,施术单元,爆破单元
主能力提升,暴击率提升,附术,六星,手铳,楔子
主能力提升,法术提升,附术,六星,手铳,同类相食
主能力提升,攻击提升,压制,六星,双手剑,典范
主能力提升,攻击提升,压制,六星,长柄武器,J.E.T.
力量提升,寒冷伤害提升,压制,五星,单手剑,逐鳞3.0
力量提升,灼热伤害提升,追袭,五星,手铳,理性告别
力量提升,终结技充能效率提升,迸发,五星,双手剑,探骊
力量提升,源石技艺强度提升,残暴,五星,双手剑,古渠
力量提升,生命提升,医疗,五星,双手剑,终点之声
力量提升,生命提升,效益,五星,双手剑,O.B.J.重荷
力量提升,终结技充能效率提升,残暴,五星,长柄武器,嵌合正义
敏捷提升,攻击提升,附术,五星,单手剑,十二问
敏捷提升,攻击提升,流转,五星,单手剑,O.B.J.轻芒
敏捷提升,物理伤害提升,巧技,五星,单手剑,钢铁余音
敏捷提升,物理伤害提升,夜幕,五星,单手剑,仰止
敏捷提升,法术提升,附术,五星,手铳,作品：众生
敏捷提升,终结技充能效率提升,迸发,五星,手铳,O.B.J.迅极
意志提升,终结技充能效率提升,昂扬,五星,施术单元,莫奈何
意志提升,治疗效率提升,医疗,五星,施术单元,布道自由
意志提升,物理伤害提升,附术,五星,长柄武器,O.B.J.尖峰
意志提升,电磁伤害提升,压制,五星,长柄武器,向心之引
智识提升,终结技充能效率提升,昂扬,五星,单手剑,坚城铸造者
智识提升,电磁伤害提升,附术,五星,施术单元,迷失荒野
智识提升,源石技艺强度提升,追袭,五星,施术单元,O.B.J.术识
智识提升,攻击提升,夜幕,五星,施术单元,悼亡诗
